method,param,param_value,iteration,time,cuts,objectif
MCTS200,C,6,5,0.4372486,0,45.0
MCTS500,C,6,5,1.099626901,0,45.0
PL1,C,7,1,0.2086647,0,51.0
PL2,C,7,1,15.249074299,84,52.0
PL3,C,7,1,0.0145932,7,Inf
MCTS10,C,7,1,0.0241286,0,39.0
MCTS20,C,7,1,0.0560048,0,39.0
MCTS50,C,7,1,0.1083873,0,40.0
MCTS100,C,7,1,0.2176828,0,41.0
MCTS200,C,7,1,0.4265337,0,42.0
MCTS500,C,7,1,0.987121799,0,38.0
PL1,C,7,2,1.0682188,0,50.0
PL2,C,7,2,15.4006183,74,53.0
PL3,C,7,2,0.0163866,7,Inf
MCTS10,C,7,2,0.0422698,0,38.0
MCTS20,C,7,2,0.055802601,0,40.0
MCTS50,C,7,2,0.135804699,0,38.0
MCTS100,C,7,2,0.2800032,0,39.0
MCTS200,C,7,2,0.4584047,0,40.0
MCTS500,C,7,2,1.077367401,0,37.0
PL1,C,7,3,0.494734999,0,53.0
PL2,C,7,3,15.3695449,63,56.0
PL3,C,7,3,0.0164289,7,Inf
MCTS10,C,7,3,0.0282381,0,39.0
MCTS20,C,7,3,0.0541884,0,38.0
MCTS50,C,7,3,0.0983144,0,34.0
MCTS100,C,7,3,0.2450003,0,40.0
MCTS200,C,7,3,1.4618834,0,40.0
MCTS500,C,7,3,1.204608899,0,38.0
PL1,C,7,4,0.5733452,0,58.0
PL2,C,7,4,15.3269175,80,60.0
PL3,C,7,4,0.0180337,7,Inf
MCTS10,C,7,4,0.030290201,0,53.0
MCTS20,C,7,4,0.063143599,0,43.0
MCTS50,C,7,4,0.489879,0,48.0
MCTS100,C,7,4,0.2420333,0,47.0
MCTS200,C,7,4,0.568112,0,45.0
MCTS500,C,7,4,1.2004223,0,45.0
PL1,C,7,5,1.2767124,0,55.0
PL2,C,7,5,15.463286601,67,60.0
PL3,C,7,5,0.018041701,7,Inf
MCTS10,C,7,5,0.0335793,0,40.0
MCTS20,C,7,5,0.0914853,0,48.0
