method,param,param_value,iteration,time,cuts,objectif
MCTS0_10,L,9,2,0.0576924,0,16.0
MCTS10,L,9,2,0.0331338,0,25.0
MCTS0_20,L,9,2,0.2003208,0,17.0
MCTS20,L,9,2,0.0568661,0,27.0
MCTS0_50,L,9,2,0.241276,0,18.0
MCTS50,L,9,2,0.1436598,0,26.0
MCTS0_100,L,9,2,0.7991261,0,17.0
MCTS100,L,9,2,0.2969368,0,26.0
MCTS0_200,L,9,2,1.727806301,0,17.0
MCTS200,L,9,2,0.586769599,0,27.0
PL1,L,9,3,2.6753523,0,33.99999999999999
MCTS0_10,L,9,3,0.055388201,0,17.0
MCTS10,L,9,3,0.043287099,0,28.0
MCTS0_20,L,9,3,0.0959511,0,17.0
MCTS20,L,9,3,0.0636475,0,26.0
MCTS0_50,L,9,3,0.2230391,0,17.0
MCTS50,L,9,3,0.1617988,0,27.0
MCTS0_100,L,9,3,1.433115399,0,17.0
MCTS100,L,9,3,1.3914934,0,28.0
MCTS0_200,L,9,3,3.731887001,0,21.0
MCTS200,L,9,3,0.5288366,0,26.0
PL1,L,9,4,1.7207521,0,33.0
MCTS0_10,L,9,4,0.060178499,0,15.0
MCTS10,L,9,4,0.1538886,0,26.0
MCTS0_20,L,9,4,0.128810899,0,18.0
MCTS20,L,9,4,0.0776576,0,28.0
MCTS0_50,L,9,4,0.5604041,0,17.0
MCTS50,L,9,4,0.196098,0,27.0
MCTS0_100,L,9,4,0.9448023,0,18.0
MCTS100,L,9,4,0.316059199,0,29.0
MCTS0_200,L,9,4,1.264295,0,22.0
MCTS200,L,9,4,0.551429601,0,27.0
PL1,L,9,5,2.2678726,0,34.0
MCTS0_10,L,9,5,0.0407824,0,16.0
MCTS10,L,9,5,0.156931499,0,28.0
MCTS0_20,L,9,5,0.1428666,0,17.0
MCTS20,L,9,5,0.0632643,0,27.0
MCTS0_50,L,9,5,0.4272431,0,17.0
MCTS50,L,9,5,0.1732134,0,25.0
MCTS0_100,L,9,5,2.009071401,0,19.0
MCTS100,L,9,5,0.268923999,0,27.0
MCTS0_200,L,9,5,2.1715232,0,22.0
MCTS200,L,9,5,0.649594101,0,28.0
PL1,L,10,1,12.345254501,0,33.0
MCTS0_10,L,10,1,0.1219762,0,16.0
MCTS10,L,10,1,0.0511103,0,25.0
MCTS0_20,L,10,1,0.117792299,0,15.0
MCTS20,L,10,1,0.0991952,0,25.0
MCTS0_50,L,10,1,0.4598827,0,14.0
MCTS50,L,10,1,0.159065099,0,26.0
MCTS0_100,L,10,1,0.9632478,0,16.0
MCTS100,L,10,1,0.294212401,0,25.0
